number,short_description,Class,description
INC0704591,customer charged for delivery after getting delivery supplements,P,"Issue: Justin called and reported that a customer has delivery supplements that was added on 24th March but still being charged for delivery. wants to get checked why she is being charged.
Customer Number: Q4086738
Website: JD Williams
ext: 0214080223"
INC0703813,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0701508,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0700707,Delivery subscription not active.,P,"Please can you activate the delivery subscription on account N4113654, customer still being charged for delivery. Thanks! "
INC0700253,Customer Number O0342797,R,
INC0699015,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pss be removed from the attached Staff Accounts? Thanks!
INC0697308,Customer free delivery subscription not working,P,"Short Description: Customer free delivery subscription not working
Diagnosis: Roger called in to report that a customer has free delivery subsription for her two accounts jdwilliams and simplybe and still she is being charged for the delivery. Please assist.
Customer Id: Y9417469- SimplyBe
                      G8721450- Jdwilliams
Customer name: Karen Wilson
Error Message: na
Affected People: 1
Contact Number: 3913"
INC0696757,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the  attached Staff accounts? Thanks!
INC0692735,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0691642,Annual delivery pass not active.,P,"Please can you activate annual delivery pass on account S0609159. Customer still being charged for delivery, RV139 purchased 05/12/2018. Thank you! 
"
INC0690385,Annual delivery pass not active on account.,P,"Please can you activate annual delivery pass on account K2126227, purchased 14/04/2019. Customer still being charged for delivery. Thanks!
                                              "
INC0690294,A4241648,R,"
From: Chris Pickup
Sent: 16 May 2019 09:35 AM
To: Serviceline
Subject: A4241648
 
Hi


This is a new Staff account.


It is showing as Free Delivery.


Can this be removed please.


Thanks

Chris"
INC0688741,J8754558,,
INC0688465,Delivery pass needs removing on Staff Accounts SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0687908,Annual delivery pass service not active on account.,P,Please can you ensure the annual delivery pass RV139FG ordered 06.01.19 is fully active on account U7989543. Customer still being charged for delivery? Thanks!
INC0687063,Delivery Pass - S6962411,P,Delivery Pass was taken out on 19.11.18 but customer is still being charged delivery.  Please rectify pjj475
INC0686661,F9110073/ Delivery sub not working,P,"From: Olivia Orwa
Sent: 03 May 2019 01:10 PM
To: Serviceline
Cc: Claire Wrigley
Subject: RE; F9110073/ Delivery sub not working
 
Hi,


Please can you check this customers annual delivery subscription as they are still being charged delivery. - Purchased 20/01/2018.


Kind Regards

Liv






Olivia Orwa | Global Customer Care | NBrown

Griffin House | 40 Lever Street | Manchester | M60 6ES

www.nbrown.co.uk


1507901337124_OutlookEmoji-1505218447530_PastedImagef81b16dd-86da-496b-8913-b5d5f80cd471.png


An expert in fashion that fits and flatters, N Brown is one of the UK's leading online retailers. Our key retail brands are JD Williams, Simply Be and Jacamo.
 


"
INC0686268,Delivery sub not on account,,
INC0685865,Customer request annual delivery pass cancellation.,R,Please can you cancel the annual delivery subscription on account F1205526. Thanks!
INC0684861,Delivery subscription,P,"
From: Olivia Orwa
Sent: 29 April 2019 01:00 PM
To: Serviceline
Cc: Claire Wrigley
Subject: RE: Delivery subscription
 
Hi,


The delivery subscription isn't active as it is charging the customer when he is placing the order.


Please can you look into this for me, I tried to cancel this and get him to add it to his account but it is still showing active.


Regards

Liv


Olivia Orwa | Global Customer Care | NBrown

Griffin House | 40 Lever Street | Manchester | M60 6ES

www.nbrown.co.uk


1507901337124_OutlookEmoji-1505218447530_PastedImagef81b16dd-86da-496b-8913-b5d5f80cd471.png


An expert in fashion that fits and flatters, N Brown is one of the UK's leading online retailers. Our key retail brands are JD Williams, Simply Be and Jacamo.
 "
INC0684243,Delivery pass needs removing on Staff accounts SUPRA DBA REQ,R,Please can you remove the delivery pass from the attached Staff Accounts? Thank you!
INC0682068,Yearly Delivery Pass,R,"From: PNT Work Requests
Sent: 17 April 2019 07:30 PM
To: Serviceline
Subject: Yearly Delivery Pass
 


Hi 


Can you please remove the delivery pass on the following account, as Staff accounts are not eligible for this product.


A4252100


Thanks

Anita Coles L450


Team Manager 

Claire Wrigley
"
INC0681626,Websites - Issues,P,"Glen Edwards called in that he has some subscription issue .
Customer account number: p8484252
 Customer name:    bara aummer 
  User contact:   3603   
 Website:   ambrose wilson  "
INC0681255,Issue with Delivery Charges,P,"Fault:- Sefali called in and reported that her customer Margaret purchased delivery pass in Nov 2018 so she will get free delivery till Nov 2019 but whenever Margaret placing any order it costs her delivery charges.
Customer Account number:- G8709490
Customer name:- Margaret Hilton
Customer 's contact number:- 01253899778
Sefali's contact:- 3657
Order number:- 0572136
item number:- OG474NU
Delivery passes purchasing date:- 18th Nov 2018"
INC0680924,getting charged for delivery,P,"Short Description: Marie reported that the customer has purchased the delivery supplement but every time she orders its still charging her 6.50 pound. Kindly assist. 
Error Message: NA
Affected People:1
Contact Number: 3553
Customer no- K5215876

Website- Jdwilliams
"
INC0680511,Delivery charges being charged even after purchasing the subscription.,P,"Short Description: Delivery charges being charged even after purchasing the subscription. 
Fault: Sandra Hill called in to report that a customer has bought the delivery subscription pass but still she is being charged for the delivery. Customrer has Purchased the delivery subscription on 17th of February and since then she is being charged. Kindly check on it. 
Error Message: NA
Affected People: 1
Manager Contact Number: 3553, 3913.
Customer Number: H3021610
Customer Name: Lynda Busby
Order Number: 9351253, 0203284, 0296015, 0800560
Website: JDWillimas"
INC0679622,Annual delivery pass applied to wrong account.,O,Please can you remove annual delivery pass from account C8340638 and apply this on to account U3562152. Thank you !
INC0679128,J4849299 - Delivery Subscription,P,Customer took out Delivery Subscription on 24.0319 but is still being charged delivery.  Please resolve.
INC0679084,D9615281 - Delivery Subscription,P,Customer took out delivery sub on 3rd Feb 2019 yet is still being charged for delivery.  Please resolve
INC0678709,Staff delivery passes,R,"From: PNT Work Requests
Sent: 08 April 2019 10:30 AM
To: Serviceline
Subject: Staff delivery passes
 


Hi 


Can you please remove the delivery passes from the following accounts, as staff are not eligible for this on their accounts:


A4252783
D6455579
N8554386
H3583052
H3586104
A4244252
A4241811
Q0914740
H1845169
O6374787
H1838063
A4242513
X7271579
R8878740
I1684342


Thanks

Anita Coles  - L450


Team Manager - Claire Wrigley
"
INC0678481,Customer Charged for delivery whereas she has delivery pass,P,"Fault: Monika called in to report that a Customer has purchased delivery pass on 9 march order no- 9610285 but still she has been charged for delivery for order no - 0585457 on 6 April. Kindly assist

Customer Account number: J5815684
Customer name: Ms. Bridget Stroud
User Contact: 3913
Website: Fashion World
Order number: on 6 april 0585457 charged her for  delivery          
"
INC0676846,Delivery charge taken from customer even after having subscription.,P,"Short Description: Delivery charge taken from customer even after having subscription. 
Fault: Sandra Hill  called in to report that a customer purchased the delivery subscription on 9th of December but still after that she is getting charged for all the orders she is purchasing. Kindly check on it. 
Error Message: NA
Affected People: 1
Manager Contact Number: 3553
Customer Number: Z9218395
Customer Name: Catherine Russ
Order Number: 6561768, 6580716, 6672030, 7001880, 7002259, 7706800, 8657244, 8670465, 9228799, 9736330, 9736331, 9817748, 0345189, 0430614.
Website: JDWilliams"
INC0676211,charged for delivery even after Delivery Pass purchased,P,"Short Description: charged for delivery even after Delivery Pass purchased
Issue: Monika called to report a customer's issue as she purchased delivery pass on 24 March and was charged for the order placed on 29th March. Monika said that she has been refunded for that delivery charge but she wants to make sure this doesn't happen again in future. Kindly check.
Customer Number: I2065194
Customer Name: Barbara Mee
Website: JD Williams
Order Number: 0317701
ext: 3913"
INC0675615,Delivery SUB offer,P,"From: PNT Work Requests
Sent: 28 March 2019 05:25 PM
To: Serviceline
Subject: Delivery SUB offer
 
Hi, 


Please can you look into the following delivery sub offer for this customer G6691908. They purchased it 02/02/2019 and it is not working. 



They had one on the account before and it was due to expire so this is the new purchase for the year. 







Thank you

Angela Nixon 384A

Team Manager; Claire Wriggley Ext 3651





"
INC0674542,Delivery Subscription - F6552545,P,Customer took Delivery Sub out on 16/12/18 yet is still being charged delivery on every order.  Please resolve for customer.
INC0673440,Being Charged for Delivery,P,"Issue: Sefali reported that a customer Bought delivery pass for a year and the customer is still being charged for delivery. Please assist.
Error: N/A
Ext: 3657

Customer: N9892963
Customer Name: SuZanne Hanrahan
Account With: Simply Be UK
Delivery Pass Purchased on : 19 Dec 2018"
INC0673435,Delivery Subscription - P8635459,P,Customer took this out on 6.01.19 but is still being charged delivery.  Please investigate
INC0671593,Delivery pass - Simply Be - not working,P,"From: PNT Work Requests
Sent: 15 March 2019 03:39 PM
To: Serviceline
Subject: Delivery pass - Simply Be - not working 
 



RE del sub not working




Account no: T9440400

Item no: RV139SH DELIVERY SUB

Purchased date: 09/12/18




Hello




Please can you have a look at account no T9440400, the customers delivery pass is not deducting the delivery charge.




The customer has the yearly delivery pass.






regards




Ahmed Hussain

Proactive Notification Team

Citrix ID: 236123

Managers name: Claire Wrigley

Direct: +44 (0)161 238 3651




5th Floor

N Brown - JD williams

40 Lever St

Manchester

M60 6ES"
INC0671530,Delivery Pass T5571032,P,"From: Olivia Orwa
Sent: 15 March 2019 01:19 PM
To: Serviceline
Cc: Claire Wrigley
Subject: RE: Delivery Pass T5571032 
 



Hi All,




Please can you check this customers delivery pass, it is on the account but she is still being charged. Shall I remove this and ask the customer

to add it again?




Thanks

Liv




 

Olivia Orwa | Global Customer Care | NBrown




Griffin House | 40 Lever Street | Manchester | M60 6ES

www.nbrown.co.uk




1507901337124_OutlookEmoji-1505218447530_PastedImagef81b16dd-86da-496b-8913-b5d5f80cd471.png





?

?



An expert in fashion that fits and flatters, N Brown is one of the UK's leading online retailers. Our key retail brands are JD Williams, Simply Be and Jacamo.
"
INC0671493,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0670930,Delivery pass not working Purchase date: 09/12/2018,P,"From: PNT Work Requests
Sent: 13 March 2019 06:22 PM
To: Serviceline
Subject: Delivery pass not working Purchase date: 09/12/2018
 

Hello 


RE: Delivery pass not working


Account no: B2656956

Item no: RV139FG DELIVERY SUB

Purchase date: 09/12/2018


Please can you look into the B2656956  customers account, the delivery pass is not working.


regards

Ahmed Hussain
Proactive Notification Team
Citrix ID: 236123
Managers name: Claire Wrigley
Direct: +44 (0)161 238 3651

5th Floor
N Brown - JD williams
40 Lever St
Manchester
M60 6ES"
INC0670460,Delivery subscription not active.,P,"Please can you activate the delivery subscription on account I6609177 pass purchased 28/06/2018 RV139, customer still being charged for delivery. Thanks! "
INC0670408,Delivery Sub,,
INC0669368,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you!
INC0668255,S1704660 - Delivery Subscription,P,Customer took Del Sub out on 30.12.18 but is still being charged delivery on every order.  Please advise.
INC0668003,"Delivery pass purchased 10-12-2018, not working  ",P,"From: PNT Work Requests
Sent: 04 March 2019 02:59 PM
To: Serviceline
Subject: Delivery pass purchased 10-12-2018, not working
 

Hello


account no: U2561511

Item no: RV139FG DELIVERY SUB

purchase date: 10/12/2018


Customer is being charged for the deliveries when it should be free.


Please Can you look in tot his and apply a fix.


regards

Ahmed Hussain
Proactive Notification Team
Citrix ID: 236123
Managers name: Claire Wrigley
Managers Direct tel: +44 (0)161 238 3651

5th Floor
N Brown - JD williams
40 Lever St
Manchester
M60 6ES"
INC0667873,q8845970,P,Customer took out delivery sub on 25.09.18 but is still being charged delivery.  Please rectify this.
INC0667087,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0666414,Annual delivery subscription not applied to account.,P,"Customer J3869833 purchased delivery subscription RV139, 17/02/19, customer still being charged for delivery. Please activate subscription service on account. Thank you! "
INC0664778,Recent DELIVERY SUB not working,P,"From: PNT Work Requests
Sent: 21 February 2019 02:46 PM
To: Serviceline
Subject: Recent DELIVERY SUB not working
 
re: Del Sub not working


Customer no: W6962114

item no: RV139 02 SQ DELIVERY SUB 4.95

Purchase date: 03/02/19



Hello This customers delivery sub is not working, they are still being charged delivery charges.



Please can you look into this and apply a fix.




regards

Ahmed Hussain
Proactive Notification Team
Citrix ID: 236123
Managers name: Claire Wrigley
Direct: +44 (0)161 238 3651

5th Floor
N Brown - JD williams
40 Lever St
Manchester
M60 6ES
"
INC0664296,Delivery Subscription - T5822815,P,Cust took out sub on 23.12.18 but is still being charged.  Please advise
INC0662893,being charged for delivery,P,"Customer Number: Q9946469
Customer : Alan Wlkin
Website: JD Williams
Issue: He has paid 9 Pounds 95 Pens on 27th January for free delivery and is still being charged for delivery.
ext: 3603
"
INC0662169,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you!
INC0662137,Delivery Sub offer,P,"
From: PNT Work Requests
Sent: 13 February 2019 10:24 AM
To: Serviceline
Subject: Delivery Sub offer
 

Hi, 


Customer K1960870 - has had the delivery pass on their account since November. 


This was purchased 2 times  and one has been removed since. However since this has happened the customer is no longer getting this offer on their account and is being charged for the deliveries. 


Please can you apply this offer to the customers account. 


Many thanks

Angela Nixon 384A

Team Manager Claire Wirggley Ext 3651
"
INC0661846,Delivery Pass,,
INC0660504,Delivery subscription not working for a customer,P,"Short Description: Delivery subscription not working for a customer 
Diagnosis : Roger called in to report that a customer opt for a Delivery subscription but its not working for her. Please assist.
Customer Id: T2011148
Customer name: Eline Baker
Website: Jdwilliams
Error Message: na
Affected People: 1
Contact number : 3913"
INC0659973,Delivery Pass,P,"From: PNT Work Requests
Sent: 06 February 2019 01:01 PM
To: Serviceline
Subject: Delivery Pass
 

Hi


Please can you look at account number I9389200, this customer purchased the Delivery Pass online on the 14th November and she keeps getting charged delivery on all her orders.


Thanks

Anita Coles L450
"
INC0659949,Customer not getting free P&P.,P,"Customer number A5403715 bought the free P&P delivery subscription and should receive free delivery.  On ACUS it doesn't look like the customer is receiving free delivery although the row is on T_DLVY_CHRG_PROMO.  Please can you correct on ACUS to give the customer free delivery

Thanjs"
INC0659177,delivery charge issue,P,"Short description-customer has already paid for pass for free delivery but then too delivery charges are adding in every order
customer ID- Q3025221
customer name-Naureen Hodge
contact number-3553
website name- JD Williams
order number- 8494703"
INC0658075,getting charged for delivery,P,"
Description: Shamim called in reporting that a customer has purchased the delivery subscription but she is still getting charged for delivery on every order. 
Error Message:NA
Affected People: 1
Contact Number: 3806

Customer no- J7524286
Website- jdwilliams

"
INC0657808,Y8724197 - Delivery Pass Subscription,P,Customer renewed this on 02.12.18 but is still being charged delivery.  Please resolve.
INC0654630,Suscription 995 not working in customers account.,P,"Short Description: Suscription 995 not working in customers account.
Fault: Ryan Palmer called in to report that a customer had purchased delivery subscription 995 for his account but it doesn't seem to be working and everytime he has to pay for the delivery.Kindly check on it.
Error Message: NA
Affected People: 1
Manager Contact Number: 3806
Customer Number: W2043029
Customer Name: Mr. Michael Johnson
Example Order Number: 8105924
Order Placing Date: 24th of January
Website: Premier Man
"
INC0651273,U8019645 - Delivery Subscription 04.03.18,P,Customer is still being charged delivery after taking delivery sub out March 2018.  Please rectify.
INC0650529,Delivery Pass not active - B8501412,P,Customer is still being charged delivery after taking taking out subscription on 4th March 2018.  Please add to account.
INC0649920,Delivery pass needs removing from Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff accounts? Thank you!
INC0649748,Delivery Pass - W4986000,O,Please can you add the unlimited annual delivery pass on customers account.
INC0649271,Delivery sub not working on this accoun,P,"From: PNT Work Requests
Sent: 11 January 2019 03:53 PM
To: Serviceline
Subject: Delivery sub not working on this accoun
 

Hello


RE: account no: J6940091

06JAN   RV 139 FG DELIVERY SUB 9.95


The customers account shows the delivery pass has been purchased but the delivery charge is still being charged.


Please can you look into this and advice.


regards


Ahmed Hussain
Proactive Notification Team
Citrix ID: 236123
Managers name: Claire Wrigley
Direct: +44 (0)161 238 3651

5th Floor
N Brown - JD williams
40 Lever St
Manchester
M60 6ES


"
INC0648889,Customer is getting charge for delivery,P,"Short description : Customer is getting charge for delivery
Fault : Roger reported that customer is having delivery subscription but still she is getting charged from last three months for every order

Customer Details : 
S3889355
Sue Smallwood
JDWilliams

Contact : 3913"
INC0648816,Delivery subscription not working,P,"Please activate annual delivery passon account S0798227, purchased August 2018 customer still being charged delivery. Thank you! "
INC0648133,Delivery pass not applied to customers account.,P,"Please can you apply the annual delivery subscription is activated on this customers account B3077560, purchased 28/10/18 still being charged for delivery. 
Thank you! "
INC0647558,S8550634 - still being charged del charge after renewing pass on 16.12.18,P,Customer is still incurring delivery charges on her orders after taking out delivery pass
INC0647183,PNT Work Requests,R,"From: PNT Work Requests
Sent: 07 January 2019 03:20 PM
To: Serviceline
Subject: RV 139 FG DELIVERY SUB - not working
 
Hello Service line

Please can you look into the cancel the following account the delivery sub is not working.

Customer no: U9285669
Item no: RV 139 FG DELIVERY SUB
purchase date: 23/08/2018

Please if you could reply back and keep us up to date.

regards

Ahmed Hussain
Proactive Notification Team
Citrix ID: 236123
Managers name: Claire Wrigley
Direct: +44 (0)161 238 3651"
INC0646500,Customer W3324382 is still being charged for delivery even though she has taken,P,Customer purchased delivery pass on 12th September 2018 but is still being charged for delivery.
INC0644793,Delivery pass not working for the customer,P,"
From: PNT Work Requests
Sent: Thursday, December 27, 2018 02:50 PM
To: Serviceline
Subject: Delivery pass not working for the customer
 
Hello Service Line


Re: 

Customer No: U1416137

Del pass item: RV139 DELIVERY SUB OFFER

Purchased date: 11/03/2008 


The above customer is being charged for the delivery, they have a delivery pass.

Please can you look into this, customer has a screenshot showing the delivery pass is active until march 2019.

regards

Ahmed Hussain
Proactive Notification Team
Citrix ID: 236123
Managers name: Joanne Downham Clarke
Direct: +44 (0)161 238 3510
"
INC0644153,Customer being charged for delivery even after having delivery passes.,P,"Short Description: Customer being charged for delivery even after having delivery passes.
Error Message: NA
Diagnosis : Tricia Louise called in to report that a customer has got annual deliver passes which is having the next day delivery option but whenever she purchases any item and apply those passes, she is been charged everytime. One of her order's delivery charges has been removed but for every other orders she is being charged.even after applying the passes. Kindly check on it.
Customer account: S1287497
Customer name: Jade Large
Website: Simply be
Contact: 3806"
INC0644133,Staff Delivery Passes,,
INC0641792,Annual delivery pass not working.,P,"Please can the delivery pass be reactivated on account W4873014 customer being charged for delivery and purchased the pass in 03.07.18. Thank you ! 
"
INC0639421,Delivery subscription,,
INC0639234,Delivery Subscription,,
INC0639093,Delivery Passes cancellations,,
INC0636559,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0636515,customer got delivery offer of  9 pounds 95 pence  for free delivery but she is,P,"short description- customer got delivery offer of  9 pounds 95 pence  for free delivery but she is sill charged for delivery
customer ID- H6527165
customer name- Susan Whitaker
Website name- simply be
contact number-3553
"
INC0636146,Customer delivery charges issue.,P,"Short Description: Customer delivery charges issue.
Fault: Laura called in to report that a customer purchased a delivery pass on July 26, 2018. She paid 9.95 pounds for no delivery charges for the next 6 months, but the customer is still getting delivery charges on every order she places and it has to be removed manually every time. Kindly assist.
Error Message: NA
Affected People: 1
Manager Contact Number: 3553
Customer Number: F6301881
Customer Name: Mrs. Marilyn Stewart
Application through which user does the job(eg mainframe): mainframe
Website: Fashion World"
INC0632660,bought  the Delivery subscription offer but he is still getting charged for the,P,"Description: Mohammed reported that a customer has bought  the Delivery subscription offer but he is still getting charged for the delivery. 

Error Message:Na

Affected People: 1

Contact Number:3620

Customer no- U0594231

Customer name- Mr. Steve Kiddy

Website- Jacamo 
"
INC0630640,Customer request delivery pass cancellation.,R,T0514848 Please can you remove the annual delivery pass service on this account? Thank you!
INC0628447,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0628144,Annual delivery pass cancellation,R,P4959903 - Please can you remove the annual delivery service from customers account? Thanks!
INC0626368,free delivery getting charged,P,"Description: Devesha reported that a customer picked the unlimited free delivery but still getting charged for delivery. kindly assist. 
Error Message:NA
Affected People: 1
Contact Number:3806
customer picked up a unlimited free delivery for a year , 
customer -y6237264
website- jdwilliams,"
INC0626146,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0625595,Delivery pass cancellation,R,T9509359 - Please can you remove the delivery subscription from this account? Thank you !
INC0624883,Delivery pass cancellation,R,"Y4176898 - Please can you remove annual delivery service. Thanks!  
"
INC0624810,Delivery pass cancellation.,R,R2940056 - Please can you remove the annual delivery pass service from customers account ? Thank you.
INC0623873,the payment 34.95 is made by customer but no order showing on jacamo's team side,O,"Short description -the payment 34.95 is made by customer but no order showing on jacamo's team side,there is no order showing on jacamo's team side
customer ID-P4675824
customer  name-Natalie woodier
website- jacamo
contact number-3553


"
INC0623582,"purchased delivery pass in march 2018 but still getting charged for delivery, ev",P,"Short description-purchased delivery pass in march 2018 but still getting charged for delivery, every time places an order
customer id-L8825607
customer name-martin kyte
contact number-3594
website: jacamo"
INC0623530,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thank you.
INC0622781,Delivery pass cancellation,R,S1259052 - Please can the delivery subscription service be removed? Thanks!
INC0622780,Delivery subscription not working,P,Q7678428 - Please can you activate the delivery pass on customers account? Thank you!
INC0622283,Delivery pass cancellation,R,A8468268 - Please can the delivery subscription be removed from account? Thanks!
INC0622277,Delivery subscription needs removing.,R,U9700616 - Please can you remove the delivery subscription from account? Thank you!
INC0622232,Customer geeting charged even after purchasing the subsciption.,P,"Short Description: Customer geeting charged even after purchasing the subsciption.
Error Message: NA
Diagnosis : Dawn Holberry called in to report that a customer has taken a subscription of free posting for 12 months, still when she is ordering any item then she is being charged for it.Kindly assist.
Customer account: R8633388
Customer name: Mrs. Haylock 
Website: Marisota
Contact: 3603"
INC0622190,Customer wishes to cancel annual delivery,R,T3960210 - Please can you remove the delivery subscription service from this account? Thanks!
INC0620620,Customer being charged for standard delivery - with active delivery subscription,P,"From: Chris Adams
Sent: 23 October 2018 09:26 AM
To: Serviceline
Subject: Customer being charged for standard delivery - with active delivery subscription
 
Can we raise an incident for OC-PSS

Customer S0235197 purchased the delivery subscription on 09.08.18, when the customer is placing her order it is charging her the standard delivery and isn't showing on mainframe she has free delivery.

the order placed on 9th August for the delivery subscription and 1 item (paid by card)

 

Expectated behaviour is all delivery is free

 

Chris Adams
Lead Product Manager - Digital CX Product Development Team

 

 

Direct: +44 (0)161 238 2424
Reception: +44 (0)161 236 8256

 "
INC0618184,DELIVERY SUB OFFER - Customer still being charged for the delivery,P,"From: Ahmed Hussain
Sent: Tuesday, October 16, 2018 12:40 PM
To: Serviceline
Subject: DELIVERY SUB OFFER - Customer still being charged for the delivery
 

Re:

Customer number: W6974171
RV139 DELIVERY SUB OFFER
Date purchased: 04/12/2017
 size  colour DELOFFER parcel

The customer is still being charged for the delivery charges. Please can you look into this as we are manually refunding charges and there is nothing on the account diary of the account as why is this offer is not working.

Please can you look into this amened the account so the offer of delivery pass works.

regards


Ahmed Hussain
PNT Advisor

 

Reception: +44 (0)161 236 8256

 

 

1505144589933_PastedImage

Griffin House
40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

An expert in fashion that fits and flatters, N Brown is one of the UK's leading online retailers. Our key retail brands are JD Williams, Simply Be and Jacamo.

 

 

"
INC0616915,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Reeq,R,Please can you remove the delivery pass from the attached Staff Accounts? Thanks!
INC0614851,unable to take free delivery option,P,"short description: unable to take free delivery option
Diagnosis: Sandra called and reported that a customer selected the free delivery options but still is charged f 995 pounds  for delivery. There is free delivery available for an year but she is instead being charged for both of accounts in Simply Be and JD Williams. kindly check

Customer Number(Simply Be): w1269383
Customer Number(JD Williams): P0544915

Customer's Name: Ms. Sarah Burke

Website: Simply Be and JD Williams
ext number: 3553"
INC0613472,Customer charged for delivery wrongly.,P,"Joanne reported that the customer has a 12 months subscription for free delivery. But every time she places an order she gets charged for the delivery. Kindly check.
customer no: f9597724
customer name: Mrs Susan Edwards
website: jd williams
contact: 3525"
INC0612636,Delivery pass needs removing on Staff Accounts SUPRA DBA Req,P,Please can the delivery pass be removed from the attached Staff Accounts? Thank You!
INC0608563,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0608490,Delivery pass hasn't been applied to customer's account,P,"Short description : Delivery pass hasn't been applied to customer's account
Fault : Jean reported that customer has applied for delivery pass on 4th September but it hasn't been applied to her account since then, kindly assist

Customer Details : 
S4742401
Mrs Helen Mellor
Ambrose Wilson

Contact : 3594"
INC0607626,Customer is still being charged Delivery after purchasing Pass,P,Customer H0833914 took out unlimited prepaid delivery on 14.07.18 but is still being charged £3.50 delivery on every order.  Please resolve.  Thanks
INC0607337,Being charged Delivery when bought Delivery Pass,P,Hello Customer F3294771 is still being charged delivery on her orders even though she bought the delivery pass last November 2017.  Please resolve.
INC0604673,Annual delivery pass needs cancelling.,R,Please remove annual delivery pass promotion from account F2950568. Thanks!
INC0603559,Delivery Pass,P,"Hi, the customer number is G0732544. She's subscribed to the delivery pass, however is still continuing to be charged a standard delivery fee. Please can this be looked into?"
INC0603012,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Account? Thanks!
INC0601197,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the the delivery pass be removed from the attached Staff Account? Thanks!
INC0597850,Customer wants to cancel delivery pass.,R,Please can you cancel the annual delivery pass on this account L9592833? Thanks!
INC0595802,Annual delivery pass not working,P,"Please apply delivery pass to account T5145995,purchased 08.07.18. Thanks! "
INC0595677,Delivery pass need removing on Staff Accounts orders SUPRA DBA REQ.,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0594852,Annual delivery pass not working.,P,"Please activate annual delivery pass on account N2605569, not working. Thanks! "
INC0594713,Annual delivery pass cancellation.,O,Please cancel annual delivery pass on account Y0918572. Please can you also cancel direct dispatch order MX548FH in circulating.Thanks!
INC0594204,Delivery pass needs removing from Staff Accounts SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts. Thank you!
INC0587203,Delivery pass needs removing from Staff Accounts SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts. Thank you !
INC0585170,Delivery Pass- ZEN 7793,,
INC0584945,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0584110,Annual delivery pass not working,P,"Please can you reactivate annual delivery pass on customers account I2054279,thank you. "
INC0582212,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Hi please can you remove the delivery pass from the attached Staff Accounts? Thanks !
INC0579360,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,"Please can the delivery pass be removed from the attached Staff Accounts,thanks! "
INC0578971,Being Charged for Shipping Wrongly,P,"Issue: Selina reported that one of the customer is being charged for Shipping even after he has opted for free shipping for a year in the beginning of June. Please assist in the issue.
Error: N/A
Ext: 3643

Customer Number: T6412525
Customer Name: Allen Heeps
Opted Pass for a year for 9.95 Pounds."
INC0578947,remove delivery pass,R,Please remove annual delivery pass from account K0937830. Thanks
INC0578579,Delivery subscription,,
INC0577935,Delivery subscription,,
INC0577874,Customer unable to apply delivery pass.,P,Please can you apply the annual delivery pass on the attached customers account? Thank you!
